1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
107.91837490656548;105.14131838589523;101.94087488152935;107.13119482609557;109.04484329218069
102.73589350991449;105.19119269405391;99.81120004347757;106.6813326292519;108.11552196516509
106.58925928948776;105.80458057351557;100.17627106325956;107.86537891891349;107.5304087704224
104.33420014281376;104.73189302839384;101.56347825056484;106.41709631652105;109.18920763655716
105.93940319622754;104.54128193359043;100.26973843128236;107.31778444630316;111.50101624050446
108.20015111484429;106.57272846334317;100.84601629639064;106.96847110253513;109.33225256701314
106.25188173839213;104.73774879433373;98.60132425685262;106.4462873932224;107.6563792057152
106.50830167024496;103.70354001701729;100.95515937470009;108.32736891639247;108.65068259447945
105.70894561005043;102.99951130871355;100.35093857435865;107.95079351096504;109.81381095803431
107.50456888395864;105.19475248628305;101.87273043605518;107.46879777259777;108.42377990649834
105.88846519112414;104.18515625170171;101.5027059169423;105.43715494543905;108.50418400710815
107.02966886030924;102.4363199750835;102.14164171230671;108.05019971582122;110.58929986383177
105.21743690648985;106.12637860355288;100.92293153200104;106.55623255471049;108.8393713303193
104.47521206399557;104.26121220803878;100.56325851712296;107.09024143855648;107.66419133346028
106.05259820060921;103.80593642480021;101.50714136859727;106.57961472203564;108.20918382117873
106.29474387978522;104.93225301225388;101.41502725107895;106.84957197101276;107.57170016879931
105.48956577285158;103.93003416222858;102.4490432973346;107.5535697411952;109.24464642958496
105.5005145045248;103.97858106332069;99.45973600844772;107.72938457773728;108.68351270315638
106.54568024580195;105.21206760246572;103.09671944329658;106.79295513449112;108.35023065525756
106.38321457617745;104.45264974995146;102.05612712146231;105.75321952771117;108.48882733617485
104.95264418246998;104.92585091408549;100.08761844828821;107.09851666196761;110.24227186218863
105.708140393165;103.43589845784297;100.92219661245693;106.7630008893698;109.25914987528317
105.16693440114314;104.57282307605749;101.60364853405524;106.23529530255884;108.28306770959412
107.87930832755113;103.16363968972243;102.06506276044192;107.64302315180242;110.04662373094524
107.4197322633439;104.56908836426416;100.51924192792795;105.5021025638806;109.01279703982915
106.97167930379051;104.25635354490892;99.08625287375388;107.19338114813186;109.08563573911682
105.11152056196288;104.09547645624495;102.06099446324714;107.50330221589948;110.25207573972678
106.89656067915092;102.97525113815249;100.3756373781025;107.50994661334957;108.17254993350365
106.48004921714754;105.60423559777905;100.08175050572257;106.93384807675409;108.76484750559817
105.3502826549247;105.17123209013626;101.47885740939823;107.30522263476729;109.50951668817845
105.98106935413887;105.32376286309672;99.5451635102031;107.06707817538151;108.42637180473827
106.76744470847888;104.32791735589196;101.28234787670048;108.27563747627165;109.01771033182767
106.28725048210896;104.56706189422728;100.77531426299947;106.64090696835473;110.19383029096157
105.97212039982077;105.52045222648684;100.54351174949345;106.44009974867596;110.63604787577948
106.0162393140513;104.25173539016426;103.15770282137468;106.60288403761257;109.20096662352444
104.63381264750784;105.85129773053936;101.0521636729547;107.33117046941544;108.61791583256823
104.88935481843642;102.86967933505528;101.70243479590586;106.4365713641395;109.13143975689266
