1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
81.8;63.3;87.0;0.0;0.0
81.3;64.1;85.1;0.0;0.0
79.2;64.3;86.7;0.0;0.0
80.4;62.3;87.1;0.0;0.0
77.3;62.4;85.1;0.0;0.0
76.4;63.7;86.1;0.0;0.0
74.6;63.0;84.7;0.0;0.0
73.7;62.0;87.0;0.0;0.0
71.5;60.6;85.6;0.0;0.0
69.9;61.3;85.6;0.0;0.0
69.1;61.1;85.1;0.0;0.0
67.0;59.6;85.6;0.0;0.0
65.9;58.8;85.8;0.0;0.0
64.7;60.0;83.9;0.0;0.0
64.3;61.0;86.9;0.0;0.0
64.6;59.1;85.2;0.0;0.0
66.1;59.0;87.2;0.0;0.0
65.0;60.2;86.9;0.0;0.0
66.0;58.6;85.5;0.0;0.0
66.3;58.5;86.1;0.0;0.0
65.6;57.9;84.9;0.0;0.0
65.0;58.0;87.7;0.0;0.0
64.9;57.4;85.5;0.0;0.0
65.0;57.6;84.6;0.0;0.0
64.9;57.2;85.2;0.0;0.0
65.1;56.3;85.8;0.0;0.0
64.8;56.7;86.4;0.0;0.0
64.8;56.3;84.8;0.0;0.0
64.7;55.5;85.6;0.0;0.0
63.4;55.6;85.9;0.0;0.0
62.7;55.5;86.4;0.0;0.0
62.8;55.7;86.2;0.0;0.0
62.9;55.1;86.4;0.0;0.0
61.0;55.0;85.7;0.0;0.0
58.5;55.2;85.1;0.0;0.0
60.2;55.0;87.3;0.0;0.0
58.1;54.9;86.2;0.0;0.0
57.0;53.4;85.2;0.0;0.0
56.9;53.2;84.0;0.0;0.0
56.6;54.0;84.8;0.0;0.0
55.2;54.7;87.0;0.0;0.0
55.5;55.1;85.2;0.0;0.0
55.0;54.0;86.0;0.0;0.0
54.1;54.4;86.7;0.0;0.0
53.7;54.5;86.2;0.0;0.0
53.6;54.4;84.9;0.0;0.0
52.1;54.3;86.5;0.0;0.0
50.7;54.5;86.8;0.0;0.0
51.5;55.5;87.7;0.0;0.0
50.4;55.7;85.6;0.0;0.0
49.8;55.9;86.1;0.0;0.0
48.8;56.5;86.2;0.0;0.0
48.4;56.3;87.3;0.0;0.0
48.7;57.5;84.8;0.0;0.0
48.1;57.0;85.1;0.0;0.0
47.7;58.0;85.1;0.0;0.0
46.9;58.9;85.0;0.0;0.0
47.5;58.7;86.0;0.0;0.0
45.5;59.6;86.9;0.0;0.0
46.3;60.9;85.7;0.0;0.0
46.2;60.3;86.3;0.0;0.0
45.5;60.6;84.9;0.0;0.0
46.2;61.3;85.5;0.0;0.0
